herb,symptom,label,score
U120,S27,1,0.1800
U120,S48,1,0.3750
U120,S62,1,0.0426
U120,S71,1,0.0035
U120,S88,1,0.0356
U721,S06,1,0.0266
U721,S07,1,0.0266
U721,S08,1,0.0065
U721,S112,1,0.0035
U721,S17,1,0.0356
U721,S71,1,0.0003
U721,S87,1,0.0266
U721,S88,1,0.0356
U141,S06,1,0.0356
U141,S07,1,0.1538
U141,S71,1,0.0128
U884,S21,1,0.0128
U890,S21,1,0.0003
U890,S25,1,0.0266
U1025,S08,1,0.0000
U1025,S27,1,0.0356
U262,S07,1,0.0488
U262,S08,1,0.0035
U262,S112,1,0.1250
U262,S21,1,0.0356
U262,S25,1,0.0128
U262,S27,1,0.3750
U262,S48,1,0.2800
U262,S88,1,0.0065
U265,S08,1,0.0003
U952,S08,1,0.0128
U963,S06,1,0.0266
U963,S17,1,0.0356
U963,S20,1,0.1111
U963,S21,1,0.0035
U963,S38,1,0.0035
U963,S62,1,0.0356
U963,S65,1,0.0035
U963,S71,1,0.0266
U963,S88,1,0.0128
U977,S112,1,0.0065
U977,S21,1,0.0035
U108,S06,1,0.0356
U108,S08,1,0.0000
U108,S25,1,0.0266
U108,S27,1,0.0266
U108,S38,1,0.0065
U108,S48,1,0.0266
U998,S17,1,0.0266
U998,S62,1,0.0426
U994,S07,1,0.1538
U994,S08,1,0.0003
U994,S112,1,0.0128
U994,S21,1,0.0266
U994,S25,1,0.0065
U994,S38,1,0.0035
U994,S71,1,0.0266
U994,S88,1,0.0266
U201,S08,1,0.0003
U201,S112,1,0.0035
U201,S21,1,0.0035
U201,S25,1,0.0035
U201,S71,1,0.0003
U899,S08,1,0.0000
U899,S71,1,0.0003
U234,S21,1,0.0128
U234,S25,1,0.0128
U45,S21,1,0.0003
U164,S06,1,0.0035
U164,S08,1,0.0003
U164,S21,1,0.0003
U164,S25,1,0.0488
U164,S27,1,0.0488
U164,S65,1,0.0035
U164,S71,1,0.0035
U172,S21,1,0.0035
U172,S25,1,0.0356
U172,S27,1,0.1196
U173,S48,1,0.1538
U674,S06,1,0.0128
U674,S20,1,0.1636
U674,S25,1,0.0128
U674,S27,1,0.0488
U679,S08,1,0.0003
U679,S21,1,0.0426
U683,S06,1,0.0035
U683,S07,1,0.0128
U683,S08,1,0.0128
U683,S112,1,0.0128
U683,S21,1,0.0356
U683,S38,1,0.0266
U683,S48,1,0.0356
U683,S65,1,0.0003
U683,S71,1,0.0035
U271,S21,1,0.0128
U274,S06,1,0.0356
U274,S112,1,0.0035
U274,S21,1,0.0128
U274,S25,1,0.0065
U274,S27,1,0.1538
U21,S06,1,0.0065
U21,S17,1,0.0356
U21,S25,1,0.0035
U21,S27,1,0.0356
U21,S62,1,0.0426
U21,S71,1,0.0356
U21,S88,1,0.0128
U286,S07,1,0.0356
U286,S25,1,0.0488
U286,S27,1,0.1538
U286,S88,1,0.0065
U214,S08,1,0.0266
U214,S112,1,0.1196
U214,S21,1,0.0356
U214,S25,1,0.0266
U214,S27,1,0.1196
U216,S21,1,0.0035
U216,S25,1,0.0128
U216,S27,1,0.0356
U216,S38,1,0.0003
U216,S48,1,0.0356
U216,S71,1,0.0003
U236,S06,1,0.1196
U236,S07,1,0.1538
U236,S08,1,0.0035
U236,S109,1,0.0035
U236,S112,1,0.0356
U236,S21,1,0.0065
U236,S25,1,0.1196
U236,S27,1,0.1800
U236,S38,1,0.0128
U236,S48,1,0.1538
U236,S71,1,0.0266
U236,S90,1,0.0128
U236,S95,1,0.0128
U236,S98,1,0.0356
U185,S08,1,0.0000
U185,S112,1,0.0266
U185,S21,1,0.0065
U185,S88,1,0.0003
U195,S06,1,0.0266
U195,S48,1,0.0266
U195,S71,1,0.0128
U30,S07,1,0.0488
U30,S112,1,0.0065
U30,S21,1,0.0035
U30,S27,1,0.0128
U346,S06,1,0.0128
U346,S08,1,0.0035
U346,S25,1,0.0065
U346,S27,1,0.0426
U302,S21,1,0.0003
U302,S27,1,0.0356
U302,S71,1,0.0128
U311,S08,1,0.0035
U305,S21,1,0.0035
U148,S08,1,0.0003
U148,S112,1,0.0003
U148,S25,1,0.0035
U148,S27,1,0.0266
U148,S71,1,0.0000
U150,S08,1,0.0003
U150,S21,1,0.0128
U150,S38,1,0.0356
U150,S48,1,0.1196
U160,S21,1,0.0426
U162,S06,1,0.0356
U162,S07,1,0.0356
U162,S08,1,0.0128
U162,S27,1,0.1538
U162,S48,1,0.0356
U162,S65,1,0.0065
U162,S71,1,0.0266
U162,S87,1,0.1538
U162,S95,1,0.0356
U349,S21,1,0.0266
U349,S25,1,0.1538
U349,S27,1,0.0356
U349,S71,1,0.1538
U351,S08,1,0.0035
U351,S21,1,0.0065
U351,S38,1,0.0035
U351,S71,1,0.0065
U374,S06,1,0.0128
U374,S07,1,0.1538
U374,S08,1,0.0128
U374,S20,1,0.5000
U374,S25,1,0.0266
U374,S27,1,0.2800
U374,S38,1,0.0356
U374,S62,1,0.0356
U374,S71,1,0.0128
U374,S88,1,0.0356
U384,S02,0,0.0128
U384,S06,0,0.0128
U384,S07,0,0.0065
U384,S08,0,0.0003
U384,S102,0,0.0003
U384,S103,0,0.0003
U384,S104,0,0.0035
U384,S106,0,0.0065
U384,S109,0,0.0128
U384,S111,0,0.0000
U384,S112,0,0.0003
U384,S114,0,0.0003
U384,S115,0,0.0000
U384,S116,0,0.0128
U384,S119,0,0.0065
U384,S120,0,0.0128
U384,S121,0,0.0035
U384,S125,0,0.0000
U384,S128,0,0.0003
U384,S137,0,0.0000
U384,S138,0,0.0003
U384,S14,0,0.0000
U384,S142,0,0.0003
U384,S144,0,0.0000
U384,S145,0,0.0000
U384,S147,0,0.0000
U384,S148,0,0.0000
U384,S15,0,0.0035
U384,S150,0,0.0000
U384,S155,0,0.0065
U384,S158,0,0.0003
U384,S159,0,0.0035
U384,S161,0,0.0000
U384,S162,0,0.0000
U384,S163,0,0.0000
U384,S169,0,0.0035
U384,S17,0,0.0128
U384,S170,0,0.0000
U384,S172,0,0.0003
U384,S177,0,0.0000
U384,S182,0,0.0000
U384,S183,0,0.0000
U384,S185,0,0.0003
U384,S189,0,0.0003
U384,S190,0,0.0000
U384,S192,0,0.0000
U384,S20,0,0.0128
U384,S200,0,0.0035
U384,S21,0,0.0266
U384,S213,0,0.0003
U384,S214,0,0.0003
U384,S215,0,0.0035
U384,S216,0,0.0035
U384,S217,0,0.0003
U384,S22,0,0.0003
U384,S221,0,0.0003
U384,S234,0,0.0000
U384,S244,0,0.0003
U384,S246,0,0.0035
U384,S25,0,0.0035
U384,S252,0,0.0035
U384,S260,0,0.0035
U384,S27,0,0.1196
U384,S273,0,0.0000
U384,S279,0,0.0035
U384,S282,0,0.0003
U384,S286,0,0.0000
U384,S291,0,0.0003
U384,S294,0,0.0065
U384,S297,0,0.0003
U384,S299,0,0.0035
U384,S30,0,0.0003
U384,S300,0,0.0035
U384,S306,0,0.0266
U384,S309,0,0.0003
U384,S313,0,0.0128
U384,S314,0,0.0000
U384,S318,0,0.0065
U384,S321,0,0.0000
U384,S325,0,0.0000
U384,S327,0,0.0000
U384,S33,0,0.0035
U384,S330,0,0.0035
U384,S333,0,0.0000
U384,S334,0,0.0000
U384,S335,0,0.0003
U384,S343,0,0.0003
U384,S345,0,0.0356
U384,S346,0,0.0003
U384,S349,0,0.0000
U384,S350,0,0.0000
U384,S355,0,0.0035
U384,S358,0,0.0003
U384,S359,0,0.0266
U384,S360,0,0.0128
U384,S363,0,0.0000
U384,S368,0,0.0000
U384,S375,0,0.0000
U384,S38,0,0.0266
U384,S380,0,0.0003
U384,S387,0,0.0003
U384,S388,0,0.0000
U384,S389,0,0.0000
U384,S39,0,0.0000
U384,S397,0,0.1196
U384,S398,0,0.1538
U384,S404,0,0.0000
U384,S408,0,0.0000
U384,S410,0,0.0003
U384,S411,0,0.0065
U384,S418,0,0.0000
U384,S42,0,0.0000
U384,S420,0,0.0065
U384,S422,0,0.0000
U384,S428,0,0.0003
U384,S430,0,0.0000
U384,S431,0,0.0000
U384,S437,0,0.0000
U384,S44,0,0.0000
U384,S443,0,0.0000
U384,S444,0,0.0000
U384,S445,0,0.0000
U384,S446,0,0.0000
U384,S447,0,0.0035
U384,S449,0,0.0003
U384,S456,0,0.0000
U384,S462,0,0.0035
U384,S463,0,0.0000
U384,S464,0,0.0000
U384,S466,0,0.0003
U384,S475,0,0.0000
U384,S476,0,0.0000
U384,S477,0,0.0000
U384,S478,0,0.0000
U384,S479,0,0.0000
U384,S48,0,0.0266
U384,S483,0,0.0003
U384,S497,0,0.0000
U384,S498,0,0.0003
U384,S499,0,0.0000
U384,S500,0,0.0000
U384,S501,0,0.0128
U384,S502,0,0.0000
U384,S503,0,0.0000
U384,S62,0,0.0356
U384,S64,0,0.0003
U384,S65,0,0.0003
U384,S66,0,0.0003
U384,S69,0,0.0035
U384,S71,0,0.0000
U384,S73,0,0.0003
U384,S75,0,0.0128
U384,S80,0,0.0128
U384,S86,0,0.0000
U384,S87,0,0.1538
U384,S88,0,0.0065
U384,S90,0,0.0035
U384,S95,0,0.0065
U384,S96,0,0.0000
U384,S98,0,0.0488
U393,S02,0,0.0266
U393,S06,0,0.0356
U393,S07,0,0.1636
U393,S08,0,0.0003
U393,S102,0,0.0003
U393,S103,0,0.0003
U393,S104,0,0.0128
U393,S106,0,0.0065
U393,S109,0,0.0128
U393,S111,0,0.0003
U393,S112,0,0.0426
U393,S114,0,0.0003
U393,S115,0,0.0000
U393,S116,0,0.0065
U393,S119,0,0.0035
U393,S120,0,0.0128
U393,S121,0,0.0266
U393,S125,0,0.0266
U393,S128,0,0.0035
U393,S137,0,0.0003
U393,S138,0,0.0128
U393,S14,0,0.0128
U393,S142,0,0.0003
U393,S144,0,0.0065
U393,S145,0,0.0065
U393,S147,0,0.0000
U393,S148,0,0.0065
U393,S15,0,0.0065
U393,S150,0,0.0003
U393,S155,0,0.0003
U393,S158,0,0.0000
U393,S159,0,0.0065
U393,S161,0,0.0003
U393,S162,0,0.0000
U393,S163,0,0.0003
U393,S169,0,0.0356
U393,S17,0,0.1636
U393,S170,0,0.0000
U393,S172,0,0.0003
U393,S177,0,0.0000
U393,S182,0,0.0000
U393,S183,0,0.0128
U393,S185,0,0.0065
U393,S189,0,0.0000
U393,S190,0,0.0003
U393,S192,0,0.0003
U393,S20,0,0.1196
U393,S200,0,0.0266
U393,S213,0,0.0065
U393,S214,0,0.0035
U393,S215,0,0.0065
U393,S216,0,0.0065
U393,S217,0,0.0003
U393,S22,0,0.0003
U393,S221,0,0.0003
U393,S234,0,0.0000
U393,S244,0,0.0003
U393,S246,0,0.0065
U393,S25,0,0.0128
U393,S252,0,0.0266
U393,S260,0,0.0035
U393,S27,0,0.1636
U393,S273,0,0.0000
U393,S279,0,0.0035
U393,S282,0,0.0000
U393,S286,0,0.0000
U393,S291,0,0.0003
U393,S294,0,0.1538
U393,S297,0,0.0035
U393,S299,0,0.0003
U393,S30,0,0.0035
U393,S300,0,0.0128
U393,S306,0,0.0356
U393,S309,0,0.0000
U393,S313,0,0.0266
U393,S314,0,0.0000
U393,S318,0,0.0128
U393,S321,0,0.0035
U393,S325,0,0.0000
U393,S327,0,0.0000
U393,S33,0,0.0128
U393,S330,0,0.0000
U393,S333,0,0.0035
U393,S334,0,0.0000
U393,S335,0,0.0000
U393,S343,0,0.0128
