Symptom,Symbol,Category_cl,EntrezID
C0036572,FBP1,protein,2203
C0036572,EML1,protein,2009
C0036572,PHOX2B,protein,8929
C0036572,PCK1,protein,5105
C0036572,HTR1B,protein,3351
C0036572,NOTCH3,protein,4854
C0036572,CTSA,protein,5476
C0036572,GYS2,protein,2998
C0036572,MTM1,protein,4534
C0036572,SCN8A,protein,6334
C0036572,GHRL,protein,51738
C0036572,KCNJ1,protein,3758
C0036572,PEX10,protein,5192
C0036572,GUCY2D,protein,3000
C0036572,GAD1,protein,2571
C0036572,PPT1,protein,5538
C0036572,KCNQ2,protein,3785
C0036572,ATP2A2,protein,488
C0036572,PPP2R1A,protein,5518
C0036572,TSC1,protein,7248
C0036572,IDH2,protein,3418
C0036572,OTC,protein,5009
C0036572,NPC1,protein,4864
C0036572,PHGDH,protein,26227
C0036572,CHRNA7,protein,1139
C0036572,ACADM,protein,34
C0036572,DPM1,protein,8813
C0036572,CPT2,protein,1376
C0036572,DCX,protein,1641
C0036572,PSEN1,protein,5663
C0036572,KCNJ11,protein,3767
C0036572,CHRNA3,protein,1136
C0036572,SOD2,protein,6648
C0036572,MAP2K1,protein,5604
C0036572,AGT,protein,183
C0036572,POLG,protein,5428
C0036572,PC,protein,5091
C0036572,PGK1,protein,5230
C0036572,HIBCH,protein,26275
C0036572,HLCS,protein,3141
C0036572,GNAQ,protein,2776
C0036572,NAGA,protein,4668
C0036572,KIF2A,protein,3796
C0036572,ARFGEF2,protein,10564
C0036572,NDUFS4,protein,4724
C0036572,HMBS,protein,3145
C0036572,TTR,protein,7276
C0036572,ALDOB,protein,229
C0036572,EP300,protein,2033
C0036572,GMPPA,protein,29926
C0036572,MBTPS2,protein,51360
C0036572,OCRL,protein,4952
C0036572,TUBB2A,protein,7280
C0036572,TRH,protein,7200
C0036572,EEF1A2,protein,1917
C0036572,PCCA,protein,5095
C0036572,PHF21A,protein,51317
C0036572,TACO1,protein,51204
C0036572,ADK,protein,132
C0036572,HNF4A,protein,3172
C0036572,KCNH1,protein,3756
C0036572,PPP2R5D,protein,5528
C0036572,GNS,protein,2799
C0036572,PCCB,protein,5096
C0036572,BTD,protein,686
C0036572,LYST,protein,1130
C0036572,SDHD,protein,6392
C0036572,NPC2,protein,10577
C0036572,IKBKG,protein,8517
C0036572,TREX1,protein,11277
C0036572,ABCD1,protein,215
C0036572,IL6,protein,3569
C0036572,PCLO,protein,27445
C0036572,SIGMAR1,protein,10280
C0036572,PSAP,protein,5660
C0036572,FUCA1,protein,2517
C0036572,LEP,protein,3952
C0036572,HESX1,protein,8820
C0036572,MMACHC,protein,25974
C0036572,BCHE,protein,590
C0036572,GABRD,protein,2563
C0036572,GK,protein,2710
C0036572,GBA,protein,2629
C0036572,ALPL,protein,249
C0036572,GCSH,protein,2653
C0036572,AASS,protein,10157
C0036572,ETHE1,protein,23474
C0036572,POMT2,protein,29954
C0036572,KCNA2,protein,3737
C0036572,OPRK1,protein,4986
C0036572,APOE,protein,348
C0036572,IQCB1,protein,9657
C0036572,FXYD2,protein,486
C0036572,ANKRD11,protein,29123
C0036572,DPYD,protein,1806
C0036572,L1CAM,protein,3897
C0036572,FADD,protein,8772
C0036572,PAM,protein,5066
C0036572,CHRNA5,protein,1138
C0036572,GLI2,protein,2736
