SID,Symbol,Category_cl,EntrezID
S109,HLCS,protein,3141
S109,MTRR,protein,4552
S109,IL1B,protein,3553
S109,RMND1,protein,55005
S109,GLDC,protein,2731
S109,UCP2,protein,7351
S109,NDUFA1,protein,4694
S109,DPYD,protein,1806
S109,MMADHC,protein,27249
S109,SLC5A5,protein,6528
S109,CA5A,protein,763
S109,EIF2B1,protein,1967
S109,PCCA,protein,5095
S109,BCKDHB,protein,594
S109,GCH1,protein,2643
S109,FBP1,protein,2203
S109,DLD,protein,1738
S109,ALDOB,protein,229
S109,BCKDHA,protein,593
S109,MMACHC,protein,25974
S109,MRPS16,protein,51021
S109,NDUFV1,protein,4723
S109,APP,protein,351
S109,TSHB,protein,7252
S109,KYNU,protein,8942
S109,NPHP1,protein,4867
S109,APTX,protein,54840
S109,PRF1,protein,5551
S109,CYP2D6,protein,110740340
S109,MC2R,protein,4158
S109,HMGCL,protein,3155
S109,ATP1A2,protein,477
S109,SLC25A13,protein,10165
S109,CACNA1A,protein,773
S109,GCG,protein,2641
S109,POLG,protein,5428
S109,ATP7B,protein,540
S109,OXT,protein,5020
S109,NOTCH3,protein,4854
S109,CCK,protein,885
S109,TRH,protein,7200
S109,KCNQ3,protein,3786
S109,KCNQ2,protein,3785
S109,SCN8A,protein,6334
S109,SCN2A,protein,6326
S109,SMARCB1,protein,6598
S109,CACNA1C,protein,775
S109,KCNJ5,protein,3762
S109,PKP2,protein,5318
S109,PSEN2,protein,5664
S109,SCN5A,protein,6331
S109,KCNE2,protein,9992
S109,KCNE1,protein,3753
S109,CASQ2,protein,845
S109,DSC2,protein,1824
S109,CACNB2,protein,783
S109,PSEN1,protein,5663
S109,RYR2,protein,6262
S109,CALM1,protein,801
S109,RNF125,protein,54941
S109,JUP,protein,3728
S109,SNTA1,protein,6640
S109,KCNJ2,protein,3759
S109,TRPM4,protein,54795
S109,ANK2,protein,287
S109,GPD1L,protein,23171
S109,TRDN,protein,10345
S109,KCNQ1,protein,3784
S109,KCNH2,protein,3757
S109,SLC6A3,protein,6531
S109,IL1RN,protein,3557
S109,APOH,protein,350
S109,IGF1,protein,3479
S109,CXCL8,protein,3576
S109,IL6,protein,3569
S109,DRD3,protein,1814
S109,APOE,protein,348
S109,TH,protein,7054
S109,LIF,protein,3976
S109,DRD2,protein,1813
S111,TRIM32,protein,22954
S111,SQSTM1,protein,8878
S111,NF1,protein,4763
S111,ABCD1,protein,215
S111,GJA1,protein,2697
S111,GJB1,protein,2705
S111,ATP13A2,protein,23400
S111,KIF1A,protein,547
S111,ZFYVE26,protein,23503
S111,AP5Z1,protein,9907
S111,ALDH18A1,protein,5832
S111,ERLIN2,protein,11160
S111,ATL1,protein,51062
S111,DCTN1,protein,1639
S111,GABRA3,protein,2556
S111,HSPD1,protein,3329
S111,PLP1,protein,5354
S111,PRNP,protein,5621
S111,SPAST,protein,6683
S111,BSCL2,protein,26580
S111,WASHC5,protein,9897
S111,DYSF,protein,8291
S111,SPG21,protein,51324
S111,DDHD2,protein,23259
S111,SPG7,protein,6687
S111,DSTYK,protein,25778
S111,CACNA1S,protein,779
S111,RTN2,protein,6253
S111,CAV1,protein,857
S111,KIF5A,protein,3798
S111,FHL1,protein,2273
S111,CYP7B1,protein,9420
S112,XPA,protein,7507
S112,MVK,protein,4598
S112,GLA,protein,2717
S112,ERCC5,protein,2073
S112,TNXB,protein,7148
S112,COL11A1,protein,1301
S112,MAFB,protein,9935
S112,CLIP2,protein,7461
S112,MPL,protein,4352
S112,PRTN3,protein,5657
S112,IRF5,protein,3663
S112,PTH1R,protein,5745
S112,HLA-DRB1,protein,3123
S112,COMP,protein,1311
S112,TREX1,protein,11277
S112,TBL2,protein,26608
S112,SLCO2A1,protein,6578
S112,TREM2,protein,54209
S112,COL9A2,protein,1298
S112,HPGD,protein,3248
S112,GTF2IRD1,protein,9569
S112,STAT4,protein,6775
S112,TET2,protein,54790
S112,TRAPPC2,protein,6399
S112,LPIN2,protein,9663
S112,COL11A2,protein,1302
S112,COL9A3,protein,1299
S112,DDB2,protein,1643
S112,XPC,protein,7508
S112,COL2A1,protein,1280
S112,MATN3,protein,4148
S112,ERCC4,protein,2072
S112,TNFRSF1A,protein,7132
S112,IL6,protein,3569
S112,TYROBP,protein,7305
S112,COL9A1,protein,1297
S112,PTPN2,protein,5771
S112,RFC2,protein,5982
S112,LIMK1,protein,3984
S112,MEFV,protein,4210
S112,TRPS1,protein,7227
S112,TLR4,protein,7099
S112,C4A,protein,720
S112,IL2RA,protein,3559
S112,AIP,protein,9049
S112,PIGT,protein,51604
S112,ATP7B,protein,540
S112,BAZ1B,protein,9031
S112,C1R,protein,715
S112,TYK2,protein,7297
S112,IL12A,protein,3592
S112,CHST3,protein,9469
S112,FAS,protein,355
S112,MFN2,protein,9927
S112,HLA-B,protein,3106
S112,JAK2,protein,3717
S112,CTLA4,protein,1493
S112,KLRC4,protein,8302
S112,ERAP1,protein,51752
S112,HGD,protein,3081
S112,MIF,protein,4282
S112,MMP2,protein,4313
S112,PHEX,protein,5251
S112,IL10,protein,3586
S112,SLC40A1,protein,30061
S112,IL1RN,protein,3557
S112,ERCC2,protein,2068
S112,HFE,protein,3077
S112,VCP,protein,7415
S112,CSF3,protein,1440
S112,PLCG2,protein,5336
S112,CCR6,protein,1235
S112,ASAH1,protein,427
S112,GTF2I,protein,2969
S112,ELN,protein,2006
S112,PTPN22,protein,26191
S112,NOTCH2,protein,4853
S112,PSMB8,protein,5696
S112,IL2RB,protein,3560
