node	type
PACC1	gene
TAB1	gene
CORO1A	gene
CDKL4	gene
POTEI	gene
PPP1R16A	gene
ATP23	gene
ETS2	gene
ANKS6	gene
NUDCD3	gene
SP1	gene
NUP62	gene
NKIRAS2	gene
MIRLET7A1	gene
IFIT2	gene
STAT2	gene
AURKA	gene
COPRS	gene
TRA2B	gene
U2AF1	gene
KAT5	gene
ZBTB8A	gene
TLX3	gene
XRN2	gene
IWS1	gene
RPL5	gene
RBM34	gene
SNAP23	gene
WASH2P	gene
CALM1	gene
KRAS	gene
INPP1	gene
WDR12	gene
PPP5C	gene
FOXD4L6	gene
PRPF3	gene
SUPT16H	gene
SF3A1	gene
MRPL22	gene
SF1	gene
RBM10	gene
MET	gene
ACTRT3	gene
E2F1	gene
IFI16	gene
RAD1	gene
MAP1LC3B	gene
KRT15	gene
BEX2	gene
CTCF	gene
CNEP1R1	gene
RABGGTA	gene
STIP1	gene
COPS3	gene
FBXL14	gene
ADRA2B	gene
ACKR3	gene
MYL6	gene
PPP1R9A	gene
NUBP1	gene
RAD21	gene
CCDC36	gene
BOLA2	gene
VHL	gene
INHBE	gene
GHITM	gene
SLTM	gene
BRCA2	gene
RAD51C	gene
TLE5	gene
ECT2	gene
CHML	gene
RAB6A	gene
AP2S1	gene
BMP2K	gene
SNU13	gene
SRSF7	gene
DDOST	gene
ILF2	gene
SKP2	gene
HNRNPA2B1	gene
SUMO2	gene
PRPF31	gene
RBMY1F	gene
TMEM139	gene
TMEM120B	gene
BSG	gene
TBRG4	gene
PTTG1IP	gene
PAX5	gene
CLN5	gene
TMEM31	gene
DUSP5	gene
ELAVL1	gene
RNF10	gene
MIS12	gene
NDUFS6	gene
NNT	gene
TAF4	gene
NADK	gene
FAM124B	gene
ATP6AP2	gene
CKAP4	gene
CTSA	gene
PSCA	gene
GNAI1	gene
NGB	gene
SEC23A	gene
ZNF274	gene
ECI2	gene
NEURL4	gene
NR2C2	gene
NUP214	gene
SETD7	gene
H4-16	gene
SF3A3	gene
SNW1	gene
ZNF32	gene
FOXA1	gene
INTS1	gene
SUMO1	gene
SLX4	gene
CHEK1	gene
BAZ1A	gene
TERF2	gene
HDGFL2	gene
SUV39H1	gene
SPATA24	gene
TTR	gene
DDX31	gene
OXLD1	gene
NUDT19	gene
EIF4A1	gene
DDX42	gene
NOSIP	gene
RABEP1	gene
ZNF438	gene
DNAJC30	gene
CCDC155	gene
CASP8	gene
BFAR	gene
SMC5	gene
NSMCE3	gene
AQP1	gene
BAALC-AS2	gene
ETS1	gene
PTPRE	gene
PTGIR	gene
TERF1	gene
TERT	gene
EXOSC2	gene
ZNF260	gene
CHRD	gene
KRTAP12-1	gene
STK4	gene
COPS6	gene
ERGIC3	gene
ZDHHC21	gene
EGFR	gene
SRC	gene
H1-1	gene
PRKCD	gene
IRF4	gene
WDR54	gene
TMEM52B	gene
CNIH3	gene
H2AC4	gene
RUVBL1	gene
PCNA	gene
GATA1	gene
YES1	gene
CEBPE	gene
IL7	gene
LCE1B	gene
NOTCH2NLA	gene
CSNK2B	gene
CIPC	gene
SPEN	gene
PCBP3	gene
USP6NL	gene
PPP1CA	gene
POLR3E	gene
USP4	gene
PRPF19	gene
GPR137B	gene
ZYG11B	gene
HSPA1A	gene
PEX5	gene
PPP1CC	gene
SAE1	gene
MED16	gene
MED25	gene
YTHDF1	gene
PRR32	gene
PRKAR1A	gene
RPS6KA1	gene
SMAD3	gene
PPP2CA	gene
PLSCR1	gene
LCE2D	gene
MEOX1	gene
ZNF410	gene
EFNA5	gene
OR1D4	gene
PLP2	gene
DLGAP4	gene
AK4	gene
CCL5	gene
FGFR3	gene
GPSM3	gene
CCN2	gene
KLHL23	gene
SLC16A1	gene
GRB2	gene
PIK3CA	gene
E2F4	gene
INCENP	gene
FMR1	gene
PNISR	gene
CHD3	gene
TNNT1	gene
ADD2	gene
PRKCZ	gene
NEDD8	gene
H4C5	gene
RNF181	gene
UBE2D4	gene
HNRNPUL1	gene
KLHDC7B	gene
SYNCRIP	gene
UVSSA	gene
THAP7	gene
XPO1	gene
YAP1	gene
SLC26A2	gene
LMNA	gene
TRIM26	gene
UBE2I	gene
C16orf58	gene
PSMB2	gene
PCDH20	gene
MAP7D3	gene
TIAL1	gene
ZNF263	gene
CD82	gene
SMIM3	gene
E2F3	gene
HDAC1	gene
PAX6	gene
NGLY1	gene
PRKRA	gene
COL8A1	gene
CCN3	gene
CAPZA2	gene
TWF2	gene
NPPB	gene
HDAC4	gene
EGFL6	gene
RAB11A	gene
CYSTM1	gene
SPI1	gene
RASSF2	gene
PSMD2	gene
URI1	gene
PPARD	gene
HDAC3	gene
PTEN	gene
LRP8	gene
EP300	gene
PROX1	gene
IL10RB	gene
ANKAR	gene
CORO1B	gene
SRSF12	gene
PABPC3	gene
MS4A3	gene
PLPP6	gene
NFE2	gene
QRFP	gene
USP1	gene
CSTF1	gene
KRT18	gene
PSTPIP2	gene
CASP10	gene
CASP8AP2	gene
FTH1	gene
TSC1	gene
RNF186	gene
CRCT1	gene
KRTAP4-11	gene
DVL2	gene
LRRK2	gene
GNA12	gene
GNB3	gene
ISLR	gene
TEX264	gene
CCT2	gene
PRKCB	gene
TYR	gene
TNPO1	gene
TEPSIN	gene
DUSP7	gene
UBE2D2	gene
MAPK14	gene
INTS6L	gene
SERPINI2	gene
UBQLN4	gene
POLB	gene
H2AC11	gene
CREB3	gene
CLP1	gene
CYP1A1	gene
NAA50	gene
COPS5	gene
FBXO7	gene
TRMT112	gene
CLEC5A	gene
PIGU	gene
ZNF461	gene
CEBPG	gene
CNTN2	gene
ZNF76	gene
TBC1D22B	gene
HNRNPR	gene
NPLOC4	gene
MAX	gene
SERF2	gene
GRB7	gene
PHAX	gene
MYH9	gene
MYL12A	gene
NDUFA8	gene
KLC3	gene
NPPA	gene
PMPCA	gene
TICRR	gene
SLC35A1	gene
KIR3DL3	gene
INS	gene
ARMC3	gene
SHC1	gene
SHC2	gene
DNAJC7	gene
CTC1	gene
RAI14	gene
TLR4	gene
AHNAK2	gene
ZNF433	gene
KRTAP10-1	gene
SF3A2	gene
DDX46	gene
ID2	gene
TCHP	gene
NOD1	gene
WDR60	gene
NUDT6	gene
UBR2	gene
ATXN7L2	gene
CYSRT1	gene
IMPDH2	gene
RNASEH2A	gene
MAGEA1	gene
EID2	gene
SMCO4	gene
FAM209A	gene
FRS3	gene
DGKZ	gene
PARD6A	gene
PSIP1	gene
IL1R1	gene
TRAIP	gene
EPHA1	gene
EIF2B5	gene
FXR1	gene
PINX1	gene
PMPCB	gene
WTAP	gene
RPL8	gene
RPL29	gene
TRIM37	gene
DISC1	gene
UACA	gene
CORO6	gene
SNRPF	gene
LSM10	gene
WAS	gene
CPSF7	gene
ARRB2	gene
ANKRD11	gene
H2BU1	gene
CDKN2A	gene
GGA3	gene
C17orf75	gene
PAX1	gene
POLE2	gene
POLE3	gene
ACTB	gene
HNF1A	gene
ZNF414	gene
TRIM42	gene
ACP2	gene
HTR2C	gene
H4C11	gene
HDAC6	gene
AKAP9	gene
SSX2B	gene
PDE6A	gene
STAT3	gene
HSP90AB1	gene
IKBKE	gene
KLC2	gene
PATL1	gene
ATP6V1B2	gene
EPRS	gene
SOX10	gene
FBXO34	gene
JUND	gene
RPL3	gene
GRN	gene
UTP23	gene
PLXNB1	gene
RAC1	gene
CCNA2	gene
RAD23A	gene
DHX57	gene
RSPH14	gene
APBB2	gene
