symptom1,symptom2,Similarity
C0023530,C0020305,0.731
C0023530,C0398650,0.809
C0023530,C1262477,0.768
C0023530,C0043094,0.767
C0023530,C1384666,0.739
C0023530,C1691779,0.758
C0023530,C0030193,0.773
C0023530,C0020429,0.784
C0023530,C1860844,0.757
C0023530,C0018681,0.785
C0023530,C0012833,0.791
C0023530,C0206160,0.765
C0023530,C0033377,0.76
C0023530,C4020887,0.772
C0023530,C0018834,0.765
C0023530,C0008489,0.742
C0023530,C0006271,0.803
C0023530,C0030486,0.723
C0023530,C1836296,0.771
C0023530,C0032617,0.755
C0023530,C0042024,0.77
C0023530,C0007758,0.732
C0023530,C0014118,0.796
C0023530,C0008031,0.796
C0023530,C2364082,0.761
C0023530,C0003126,0.753
C0023530,C0023186,0.777
C0023530,C0751265,0.767
C0023530,C0042384,0.819
C0023530,C0040034,0.824
C0023530,C0231712,0.774
C0023530,C0021368,0.81
C0023530,C0030232,0.781
C0023530,C0029089,0.757
C0023530,C0005745,0.76
C0023530,C0003123,0.8
C0023530,C0271097,0.702
C0023530,C2931205,0.702
C0023530,C1568248,0.702
C0023530,C1568249,0.733
C0023530,C0699731,0.749
C0023530,C0086132,0.772
C0023530,C0020505,0.786
C0023530,C0013491,0.786
C0023530,C0023012,0.75
C0023530,C0023015,0.781
C0023530,C0973461,0.775
C0023530,C0233565,0.771
C0023530,C0039070,0.75
C0023530,C0040822,0.753
C0023530,C0234376,0.753
C0023530,C0003578,0.755
C0023530,C3714756,0.701
C0023530,C0020796,0.772
C0022541,S463,0.744
C0022541,S464,0.798
C0022541,S466,0.789
C0022541,S475,0.689
C0022541,S476,0.689
C0022541,S477,0.689
C0022541,S478,0.723
C0022541,S479,0.704
C0022541,S48,0.748
C0022541,S483,0.754
C0022541,S497,0.724
C0022541,S498,0.671
C0022541,S499,0.751
C0022541,S500,0.735
C0022541,S501,0.748
C0022541,S502,0.765
C0022541,S503,0.744
C0022541,S62,0.724
C0022541,S64,0.731
C0022541,S65,0.73
C0022541,S66,0.758
C0022541,S69,0.745
C0022541,S71,0.716
C0022541,S73,0.749
C0022541,S75,0.719
C0022541,S80,0.676
C0022541,S86,0.728
C0022541,S87,0.743
C0022541,S88,0.741
C0022541,S90,0.732
C0022541,S95,0.733
C0022541,S96,0.751
C0022541,S98,0.733
C0023530,C0002103,0.801
C0023530,C0035455,0.809
C0023530,C0009806,0.751
C0023530,C0011991,0.771
C0023530,C0021359,0.763
C0023530,C0014335,0.796
C0023530,C0003113,0.771
C0023530,C0026821,0.779
C0023530,C0036572,0.706
C0023530,C0011570,0.781
C0023530,C0001925,0.798
C0023530,C0033687,0.766
C0023530,C0020615,0.745
C0023530,C0032914,0.781
C0023530,C0338591,0.789
C0023530,C0700590,0.774
C0023530,C0019572,0.772
C0023530,C0006625,0.781
C0023530,C0027498,0.777
C0023530,C0018777,0.753
C0023530,C0015967,0.783
C0023530,C3552463,0.759
C0023530,C0023014,0.755
C0023530,C0015672,0.768
C0023530,C0271215,0.762
C0023530,C0028754,0.718
C0023530,C0028756,0.782
C0023530,C3203358,0.77
C0023530,C0031154,0.797
C0023530,C0000737,0.773
C0023530,C0086565,0.772
C0023530,C0019214,0.787
C0023530,C0235153,0.766
C0023530,C0018784,0.742
C0023530,C0020455,0.775
C0023530,C0020438,0.767
C0023530,C0020538,0.773
C0023530,C0751837,0.756
C0023530,C0009460,0.779
C0023530,C0151825,0.774
C0023530,C0162298,0.769
C0023530,C0086437,0.763
C0023530,C0003862,0.791
C0023530,C0152031,0.794
C0023530,C0035229,0.804
C0023530,C0231835,0.699
C0023530,C0013404,0.78
C0023530,C0476273,0.756
C0023530,C1145670,0.804
C0023530,C0009421,0.757
C0023530,C0026838,0.747
C0023530,C0026846,0.776
C0023530,C0151786,0.753
C0023530,C0015644,0.772
C0023530,C0026826,0.755
C0023530,C0013421,0.741
C0023530,C0027066,0.752
C0023530,C0542476,0.783
C0023530,C0751295,0.783
C0023530,C0002622,0.802
C0023530,C0234979,0.753
C0023530,C1838869,0.773
C0023530,C0003537,0.777
C0023530,C0917816,0.705
C0023530,C0221263,0.778
C0023530,C0010200,0.799
C0023530,C0178417,0.755
C0023530,C0018776,0.764
C0023530,C0042571,0.791
C0023530,C0234133,0.761
C0023530,C0234132,0.745
C0023530,C0234378,0.736
C0023530,S02,0.775
C0023530,S06,0.75
C0023530,S07,0.771
C0023530,S08,0.777
C0023530,S102,0.761
C0023530,S103,0.75
C0023530,S104,0.8
C0023530,S106,0.771
C0023530,S109,0.745
C0023530,S111,0.77
C0023530,S112,0.759
C0023530,S114,0.739
C0023530,S115,0.759
C0023530,S116,1.0
C0023530,S119,0.75
C0023530,S120,0.801
C0023530,S121,0.809
C0023530,S125,0.763
C0023530,S128,0.796
C0023530,S137,0.798
C0023530,S138,0.766
C0023530,S14,0.774
C0023530,S142,0.745
C0023530,S144,0.781
C0023530,S145,0.789
C0023530,S147,0.772
C0023530,S148,0.781
C0023530,S15,0.755
C0023530,S150,0.753
C0023530,S155,0.759
C0023530,S158,0.755
C0023530,S159,0.762
C0023530,S161,0.718
C0023530,S162,0.782
C0023530,S163,0.77
C0023530,S169,0.797
C0023530,S17,0.772
C0023530,S170,0.772
C0023530,S172,0.787
C0023530,S177,0.742
C0023530,S182,0.775
C0023530,S183,0.767
C0023530,S185,0.773
C0023530,S189,0.756
C0023530,S190,0.778
